doc_id,chapter,span_id,transition_type,anchor_time,anchor_place,anchor_strength,mode_perception,mode_inner_speech,mode_memory,mode_imagination,mode_reasoning,mode_emotion,mode_dialogue,mode_quotation,cause_sensory,cause_memory,cause_emotion_drive,cause_linguistic,cause_social,cause_physio,cause_intertext,cause_goal_task,place_0,place_1,place_2,place_3,myth_0,myth_1,myth_2,myth_3,style_syntax_break,style_ellipsis,style_intertext_density,style_language_shift,style_phonetic_play,evidence_en,evidence_ja
ulysses_ep01_v1,1,11,semantic_association,now,here,0.7,0.0,0.1,0.0,0.0,0.25,0.15,0.5,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.35,0.05,0.05,0.05,0.05,0.06,0.25,0.0,0.1,0.0,0.05,cracked lookingglass of a servant,「symbol」「cracked lookingglass」で概念化/言語化。
ulysses_ep01_v1,1,12,semantic_association,past,elsewhere,0.65,0.0,0.0,0.35,0.0,0.1,0.1,0.45,0.0,0.0,0.5,0.2,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.45,0.1,0.05,0.06,0.05,0.08,0.1,0.0,0.0,0.0,0.0,the first day I went,「remember」「after my mother’s death」で回想アンカー。
ulysses_ep01_v1,1,13,intrusion,past,elsewhere,0.6,0.0,0.0,0.2,0.0,0.05,0.05,0.3,0.4,0.0,0.4,0.0,0.3,0.3,0.0,0.0,0.0,0.05,0.0,0.5,0.1,0.05,0.06,0.05,0.1,0.1,0.0,0.05,0.0,0.0,whose mother is beastly dead,引用符的再現（過去発話の再掲）。
ulysses_ep01_v1,1,14,completion,now,here,0.75,0.0,0.05,0.0,0.0,0.2,0.2,0.55,0.0,0.0,0.0,0.5,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.25,0.05,0.05,0.05,0.05,0.08,0.1,0.0,0.0,0.0,0.0,offence to me,焦点語「offence」「me」で自己へ収束。
ulysses_ep01_v1,1,15,contrast,now,here,0.85,0.65,0.05,0.05,0.0,0.15,0.1,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.05,0.1,0.05,0.05,0.08,0.05,0.0,0.0,0.0,0.0,cover the sun slowly,雲/太陽の知覚変化で外界へ。
ulysses_ep01_v1,1,16,script_switch,timeless,unknown,0.5,0.0,0.05,0.1,0.0,0.0,0.05,0.0,0.8,0.0,0.3,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.05,0.95,0.05,0.08,0.05,0.1,0.2,0.0,0.95,0.95,0.05,te confessorum turma circumdet,ラテン語句の連鎖で引用/間テキスト密度が高い。
ulysses_ep01_v1,1,17,intrusion,mixed,mixed,0.6,0.05,0.5,0.2,0.0,0.05,0.4,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.15,0.25,0.08,0.08,0.08,0.12,0.75,0.0,0.1,0.0,0.1,"No, mother! Let me live",感嘆・命令/懇願の連続で情動主導。
ulysses_ep01_v1,1,18,intrusion,now,here,0.8,0.05,0.0,0.0,0.0,0.05,0.05,0.75,0.1,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.2,0.1,0.45,0.05,0.05,0.05,0.05,0.08,0.1,0.0,0.0,0.0,0.0,Breakfast is ready,食事準備の通知＝目的/行動要因。
ulysses_ep01_v1,1,19,completion,now,here,0.9,0.75,0.05,0.0,0.0,0.1,0.05,0.05,0.0,0.7,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.05,0.0,0.85,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,gloomy domed livingroom of the tower,室内空間の描写（場所アンカー強）。
ulysses_ep01_v1,1,20,intrusion,now,here,0.85,0.6,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.6,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.05,0.2,0.8,0.1,0.05,0.05,0.05,0.06,0.05,0.0,0.0,0.0,0.0,old woman came forward,入室/接近の視覚イベント。
ulysses_ep01_v1,1,21,script_switch,now,here,0.85,0.05,0.0,0.0,0.0,0.1,0.05,0.6,0.2,0.0,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.05,0.2,0.8,0.1,0.05,0.05,0.05,0.05,0.1,0.0,0.2,0.45,0.05,Irish... Gaelic on you,言語名の提示で言語要因が支配的。
ulysses_ep01_v1,1,22,semantic_association,now,here,0.7,0.05,0.0,0.0,0.0,0.1,0.05,0.25,0.55,0.0,0.0,0.0,0.3,0.2,0.0,0.5,0.0,0.25,0.1,0.2,0.1,0.05,0.2,0.05,0.08,0.15,0.0,0.65,0.1,0.1,in search of a father,呼称＋比喩的ラベルで間テキスト/連想が増える。
ulysses_ep01_v1,1,23,script_switch,now,here,0.6,0.05,0.0,0.0,0.0,0.05,0.05,0.1,0.75,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.3,0.2,0.1,0.2,0.05,0.1,0.08,0.05,0.15,0.0,0.45,0.0,0.25,my father’s a bird,歌/詠唱の断片引用で引用モード優勢。
ulysses_ep01_v1,1,24,contrast,now,here,0.6,0.0,0.1,0.0,0.0,0.25,0.15,0.5,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.35,0.0,0.1,0.1,0.05,0.05,0.05,0.08,0.05,0.0,0.05,0.0,0.0,example of free thought,「free thought」など抽象語で推論・言語主導。
ulysses_ep01_v1,1,25,rumination,now,mixed,0.6,0.0,0.2,0.0,0.0,0.25,0.1,0.45,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.3,0.0,0.3,0.0,0.1,0.15,0.08,0.05,0.08,0.1,0.05,0.0,0.15,0.0,0.0,servant of two masters,自己位置づけ（servant/masters）で内的整理。
ulysses_ep01_v1,1,26,intrusion,now,here,0.6,0.05,0.0,0.0,0.0,0.2,0.05,0.65,0.05,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.2,0.35,0.0,0.05,0.05,0.05,0.05,0.05,0.08,0.05,0.0,0.0,0.0,0.0,I’m a Britisher,自己同定の明示で社会要因が主。
ulysses_ep01_v1,1,27,completion,now,here,0.8,0.05,0.0,0.0,0.0,0.05,0.05,0.8,0.05,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.6,0.25,0.0,0.15,0.05,0.05,0.05,0.08,0.08,0.05,0.0,0.0,0.0,0.0,Give us that key,「key」要求＝即時タスク/行動への切替。
ulysses_ep01_v1,1,28,semantic_association,now,here,0.9,0.7,0.15,0.0,0.0,0.05,0.1,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.05,0.15,0.05,0.05,0.1,0.35,0.0,0.0,0.0,0.05,far out on the water,海上の遠景知覚＋短いラベルで切断。
ulysses_ep02_v1,2,1,intrusion,now,here,0.85,0.05,0.0,0.0,0.0,0.05,0.05,0.85,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.05,0.8,0.25,0.05,0.04,0.03,0.03,0.04,0.1,0.0,0.0,0.0,0.0,what city sent for him,会話マーカーと問答形式による対話継続。
ulysses_ep02_v1,2,2,intrusion,now,here,0.8,0.75,0.1,0.0,0.0,0.1,0.05,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05,0.75,0.25,0.0,0.03,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,blank face asked the blank window,視覚対象（face/window）への注意集中。
ulysses_ep02_v1,2,3,rumination,mixed,here,0.6,0.05,0.15,0.55,0.0,0.25,0.05,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.05,0.6,0.25,0.05,0.03,0.03,0.03,0.05,0.15,0.0,0.2,0.0,0.0,daughters of memory,memory語と断定/修正の並置で内省化。
ulysses_ep02_v1,2,4,intrusion,mixed,mixed,0.55,0.25,0.35,0.0,0.2,0.05,0.15,0.0,0.0,0.5,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.05,0.35,0.15,0.05,0.04,0.03,0.03,0.06,0.15,0.0,0.0,0.0,0.05,shattered glass and toppling masonry,I hear から連鎖する感覚-像の急激な挿入。
ulysses_ep02_v1,2,5,completion,now,here,0.85,0.1,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.05,0.75,0.25,0.0,0.03,0.03,0.03,0.04,0.05,0.0,0.05,0.0,0.0,glancing at the name and date,— と said で会話復帰、book参照で外部手掛かり。
ulysses_ep02_v1,2,6,script_switch,now,here,0.8,0.0,0.0,0.0,0.0,0.05,0.05,0.2,0.7,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.05,0.7,0.25,0.05,0.04,0.03,0.03,0.05,0.1,0.0,0.5,0.05,0.0,Another victory like that,斜体句の挿入で引用モードが優勢。
ulysses_ep02_v1,2,7,semantic_association,mixed,elsewhere,0.6,0.3,0.1,0.0,0.35,0.2,0.05,0.0,0.0,0.2,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.05,0.25,0.1,0.0,0.05,0.03,0.03,0.06,0.05,0.0,0.05,0.0,0.0,corpsestrewn plain a general,具体の教室から想像的景への切替。
ulysses_ep02_v1,2,8,intrusion,now,here,0.85,0.0,0.0,0.0,0.0,0.05,0.05,0.9,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.05,0.8,0.25,0.0,0.03,0.03,0.03,0.04,0.05,0.0,0.0,0.0,0.0,know anything about Pyrrhus,命令形と質問で会話モードへ。
ulysses_ep02_v1,2,9,intrusion,now,here,0.9,0.7,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.05,0.75,0.25,0.0,0.03,0.03,0.03,0.04,0.05,0.0,0.0,0.0,0.0,swallowed them softly,食べる動作と感覚語で知覚入力が優勢。
ulysses_ep02_v1,2,10,completion,now,here,0.85,0.2,0.0,0.0,0.0,0.1,0.05,0.65,0.0,0.3,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.4,0.65,0.15,0.0,0.03,0.03,0.03,0.04,0.1,0.0,0.0,0.0,0.0,thing out in the water,定義文＋水上の具体物で知覚語が増える。
ulysses_ep02_v1,2,11,contrast,now,here,0.8,0.1,0.0,0.0,0.0,0.25,0.1,0.55,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.0,0.25,0.7,0.2,0.0,0.03,0.03,0.03,0.05,0.1,0.0,0.05,0.0,0.0,a disappointed bridge,短い再定義で推論語が増える。
ulysses_ep02_v1,2,12,rumination,future,elsewhere,0.65,0.0,0.55,0.05,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.05,0.35,0.2,0.05,0.04,0.03,0.03,0.06,0.25,0.0,0.2,0.0,0.0,pierce the polished mail,Tonight など未来アンカー＋目的的動詞で内的計画。
ulysses_ep02_v1,2,13,rumination,timeless,unknown,0.5,0.0,0.25,0.0,0.1,0.55,0.1,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.05,0.04,0.03,0.03,0.08,0.2,0.0,0.1,0.0,0.05,only possible which came to pass,疑問文の連鎖と比喩句で推論が継続。
ulysses_ep02_v1,2,14,script_switch,now,here,0.7,0.05,0.0,0.0,0.0,0.0,0.05,0.1,0.8,0.0,0.0,0.0,0.2,0.1,0.0,0.7,0.0,0.2,0.65,0.15,0.05,0.03,0.03,0.03,0.05,0.25,0.0,0.7,0.05,0.4,"Weep no more, woful shepherds",韻律的な詩行で引用モードが優勢。
ulysses_ep02_v1,2,15,rumination,past,elsewhere,0.6,0.0,0.15,0.45,0.1,0.25,0.05,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.35,0.2,0.03,0.03,0.03,0.05,0.1,0.0,0.6,0.0,0.05,library of Saint Genevieve,formed itself / floated out で連想離脱、場所がlibraryへ。
ulysses_ep02_v1,2,16,semantic_association,timeless,unknown,0.5,0.0,0.25,0.05,0.05,0.6,0.05,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.03,0.03,0.03,0.06,0.35,0.0,0.3,0.0,0.0,Thought is the thought,格言調の短文連鎖で推論/内言が優勢。
ulysses_ep02_v1,2,17,script_switch,now,here,0.7,0.05,0.05,0.0,0.0,0.05,0.05,0.05,0.75,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.65,0.15,0.4,0.03,0.03,0.03,0.05,0.4,0.0,0.4,0.0,0.6,The bells in heaven,改行を伴う韻文で引用/音韻が前景化。
ulysses_ep02_v1,2,18,intrusion,now,here,0.9,0.25,0.0,0.0,0.0,0.05,0.05,0.65,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.85,0.15,0.0,0.03,0.03,0.03,0.04,0.1,0.0,0.0,0.0,0.0,voice in the corridor called,物音/呼び声で感覚入力が強制的に入る。
ulysses_ep02_v1,2,19,intrusion,now,here,0.85,0.75,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.35,0.0,0.03,0.03,0.03,0.04,0.05,0.0,0.0,0.0,0.0,showing an open copybook,came forward / showing で知覚入力と対人状況が変化。
ulysses_ep02_v1,2,20,rumination,now,here,0.8,0.25,0.45,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.25,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.0,0.03,0.03,0.03,0.05,0.2,0.0,0.0,0.0,0.0,Ugly and futile,評価語（Ugly/futile）＋身体描写で内的反応が前面化。
ulysses_ep02_v1,2,21,rumination,past,mixed,0.6,0.0,0.35,0.45,0.05,0.05,0.1,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.35,0.0,0.04,0.03,0.03,0.06,0.25,0.0,0.0,0.0,0.0,My childhood bends beside me,Like him / childhood で自己参照と過去アンカー。
ulysses_ep02_v1,2,22,intrusion,now,here,0.9,0.8,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.75,0.05,0.03,0.03,0.03,0.04,0.05,0.0,0.0,0.0,0.0,smell of drab abraded leather,空気/匂いの感覚語で場面がstudyへ固定。
ulysses_ep02_v1,2,23,intrusion,now,here,0.9,0.05,0.05,0.0,0.0,0.1,0.05,0.75,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.6,0.0,0.05,0.75,0.05,0.03,0.03,0.03,0.05,0.05,0.0,0.0,0.0,0.0,little financial settlement,settlement の明示で目的行動が前面化。
ulysses_ep02_v1,2,24,semantic_association,now,here,0.85,0.55,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.05,0.7,0.05,0.03,0.03,0.03,0.05,0.15,0.0,0.05,0.0,0.0,money cowries and leopard shells,具体物の列挙で知覚と象徴語が増える。
ulysses_ep02_v1,2,25,contrast,now,here,0.8,0.0,0.05,0.0,0.0,0.2,0.05,0.7,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.1,0.0,0.05,0.75,0.05,0.03,0.03,0.03,0.06,0.1,0.0,0.0,0.0,0.0,Money is power,直截な断定（Money is ...）で言語/対人要因が優勢。
ulysses_ep02_v1,2,26,script_switch,now,here,0.85,0.05,0.05,0.0,0.0,0.1,0.05,0.3,0.45,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.05,0.75,0.05,0.03,0.03,0.03,0.05,0.25,0.8,0.15,0.05,0.0,prompt ventilation of this allimportant question,Full stop と keys で口述-記録の体裁が立つ。
ulysses_ep02_v1,2,27,completion,now,here,0.75,0.0,0.1,0.0,0.0,0.3,0.05,0.55,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.05,0.7,0.05,0.04,0.03,0.03,0.12,0.05,0.0,0.0,0.0,0.0,nightmare from which I am trying,— と said で発話化しつつ抽象語で内言寄り。
ulysses_ep02_v1,2,28,completion,now,elsewhere,0.8,0.05,0.0,0.0,0.0,0.05,0.1,0.8,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.15,0.45,0.05,0.03,0.03,0.03,0.05,0.05,0.0,0.0,0.0,0.0,she never let them in,断定的な短文＋said で会話終端の締め。
ulysses_ep03_v1,3,1,intrusion,now,here,0.85,0.3,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.7,0.05,0.05,0.2,0.1,0.02,0.02,0.05,0.55,0.05,0.15,0.05,0.1,thought through my eyes,視覚入力を「思考」として扱う表現がある。
ulysses_ep03_v1,3,2,script_switch,now,here,0.8,0.1,0.55,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.65,0.05,0.05,0.25,0.08,0.02,0.02,0.05,0.2,0.05,0.1,0.05,0.05,Shut your eyes,命令形で知覚（目）を操作している。
ulysses_ep03_v1,3,3,completion,now,here,0.9,0.7,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.85,0.02,0.03,0.1,0.1,0.02,0.02,0.06,0.25,0.05,0.05,0.05,0.2,closed his eyes to hear,視覚遮断→聴覚への切替が明示される。
ulysses_ep03_v1,3,4,semantic_association,now,here,0.65,0.1,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.7,0.03,0.02,0.25,0.06,0.02,0.02,0.05,0.35,0.05,0.05,0.05,0.1,short space of time,時間と空間の語で抽象的に扱っている。
ulysses_ep03_v1,3,5,intrusion,now,here,0.6,0.15,0.45,0.0,0.1,0.0,0.3,0.0,0.0,0.25,0.0,0.35,0.0,0.0,0.4,0.0,0.0,0.75,0.02,0.03,0.2,0.05,0.02,0.04,0.1,0.7,0.05,0.05,0.05,0.1,No. Jesus! If I fell,拒否と驚愕語が出て、転落想像が始まる。
ulysses_ep03_v1,3,6,phonetic_association,now,here,0.85,0.6,0.15,0.0,0.05,0.1,0.1,0.0,0.0,0.5,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.9,0.02,0.02,0.06,0.08,0.02,0.02,0.06,0.45,0.05,0.05,0.05,0.85,"Crush, crack, crick",連続擬音で音中心の知覚が強い。
ulysses_ep03_v1,3,7,semantic_association,now,here,0.75,0.2,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.75,0.02,0.03,0.2,0.06,0.02,0.02,0.05,0.4,0.05,0.1,0.05,0.25,A catalectic tetrameter of iambs,韻律用語で構造を数える方向へ向く。
ulysses_ep03_v1,3,8,completion,timeless,here,0.55,0.35,0.2,0.0,0.0,0.45,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7,0.02,0.03,0.25,0.07,0.02,0.02,0.05,0.5,0.05,0.05,0.05,0.05,world without end,時間を越える言い回しで一般化が起きる。
ulysses_ep03_v1,3,9,intrusion,now,here,0.8,0.6,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.6,0.15,0.05,0.2,0.05,0.02,0.02,0.05,0.35,0.05,0.2,0.35,0.05,came down the steps,第三者の動作描写が中心になる。
ulysses_ep03_v1,3,10,semantic_association,now,here,0.65,0.0,0.35,0.0,0.25,0.2,0.2,0.0,0.0,0.25,0.0,0.35,0.4,0.0,0.0,0.0,0.0,0.55,0.1,0.05,0.3,0.05,0.02,0.03,0.08,0.45,0.05,0.1,0.05,0.05,What has she in the bag?,問いかけで内容推定が始まっている。
ulysses_ep03_v1,3,11,script_switch,mixed,mixed,0.45,0.1,0.4,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.35,0.0,0.0,0.45,0.2,0.35,0.05,0.05,0.55,0.05,0.03,0.03,0.06,0.7,0.05,0.6,0.4,0.05,Gaze in your _omphalos_,固有語・呼びかけ・転送命令が連続する。
ulysses_ep03_v1,3,12,completion,future,mixed,0.55,0.1,0.3,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.15,0.0,0.0,0.0,0.6,0.45,0.05,0.1,0.4,0.08,0.02,0.02,0.05,0.4,0.05,0.1,0.05,0.05,forget his letter for the press,忘れない・時刻などタスク列挙がある。
ulysses_ep03_v1,3,13,rumination,mixed,mixed,0.5,0.0,0.2,0.45,0.0,0.0,0.1,0.25,0.0,0.0,0.5,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.05,0.55,0.1,0.05,0.18,0.02,0.06,0.35,0.05,0.25,0.05,0.05,father’s voice. Did you see,「voice」で他者発話が想起され質問形になる。
ulysses_ep03_v1,3,14,script_switch,now,here,0.9,0.1,0.0,0.0,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.05,0.1,0.8,0.05,0.04,0.08,0.02,0.04,0.35,0.05,0.05,0.05,0.05,Let Stephen in,ダッシュ付き発話で会話が明示される。
ulysses_ep03_v1,3,15,completion,now,here,0.9,0.05,0.0,0.0,0.0,0.0,0.15,0.8,0.0,0.0,0.0,0.25,0.15,0.6,0.0,0.0,0.0,0.05,0.1,0.8,0.05,0.04,0.06,0.03,0.05,0.55,0.05,0.05,0.05,0.1,Damn your lithia water,罵倒と命令形が連続し感情強度が上がる。
ulysses_ep03_v1,3,16,rumination,mixed,mixed,0.4,0.0,0.4,0.15,0.0,0.35,0.1,0.0,0.0,0.0,0.4,0.25,0.35,0.0,0.0,0.0,0.0,0.1,0.05,0.7,0.15,0.04,0.06,0.02,0.08,0.75,0.05,0.1,0.05,0.05,Houses of decay,情景・評価語が断片的に連なる内言形。
ulysses_ep03_v1,3,17,phonetic_association,timeless,mixed,0.35,0.5,0.15,0.0,0.15,0.1,0.0,0.0,0.1,0.45,0.0,0.0,0.35,0.0,0.0,0.2,0.0,0.1,0.05,0.1,0.75,0.04,0.04,0.02,0.08,0.6,0.05,0.45,0.05,0.8,Dringdring! ... Dringadring!,擬音反復で音の連鎖を作っている。
ulysses_ep03_v1,3,18,contrast,now,here,0.9,0.65,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.85,0.02,0.03,0.1,0.06,0.02,0.02,0.05,0.3,0.05,0.05,0.05,0.15,sand had gone from under his feet,足元の砂・歩行の身体感覚が中心に戻る。
ulysses_ep03_v1,3,19,script_switch,past,elsewhere,0.75,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.25,0.3,0.0,0.45,0.0,0.05,0.15,0.1,0.7,0.04,0.03,0.02,0.06,0.35,0.05,0.6,0.95,0.1,"C’est le pigeon, Joseph",フランス語の発話がそのまま挿入される。
ulysses_ep03_v1,3,20,completion,past,elsewhere,0.8,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.65,0.0,0.6,0.25,0.0,0.0,0.0,0.15,0.0,0.05,0.05,0.2,0.7,0.05,0.06,0.02,0.1,0.3,0.05,0.35,0.05,0.05,Mother dying come home,電文形式の短い引用文が提示される。
ulysses_ep03_v1,3,21,contrast,now,here,0.95,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.02,0.03,0.05,0.1,0.02,0.02,0.06,0.25,0.05,0.05,0.05,0.1,wet sand slapped his boots,砂と靴の接触音・触感が現在形で描写される。
